compdom,compgen,riskgen,riskfinan,riskrecrea,indepgen,indephelp,indepprob,commother,commdecis,commfriend,commemp,exprfriend,exprother,exprown,exprhelp_reverse,timesleep,timework,timehouse,timeleisure,timeexc,timecare,timecom,socsupadv,socsuplove,socsupchores,socsuplone,discrgen,discrhire,discred,discrmed,discrpub,discrfam,qualfam,qualfamarg,careemot,carephys,carefut,workspeed,workrep,workemot,workphys,workrisk,workhaz
2.00,3.00,3.00,2.00,3.00,4.00,2.00,4.00,2.00,4.00,3.00,3.00,3.00,3.00,5.00,3.00,6.00,10.00,4.00,2.00,0.00,2.00,0.00,2.00,4.00,4.00,4.00,1.00,1.00,1.00,1.00,1.00,1.00,3.00,5.00,4.00,3.00,5.00,2.00,2.00,2.00,2.00,2.00,3.00
2.00,2.00,2.00,2.00,3.00,3.00,3.00,3.00,2.00,4.00,3.00,2.00,3.00,2.00,5.00,2.00,6.00,12.00,2.00,0.00,0.00,4.00,0.00,3.00,4.00,4.00,5.00,1.00,1.00,1.00,1.00,1.00,1.00,4.00,5.00,3.00,4.00,4.00,5.00,4.00,3.00,3.00,2.00,2.00
2.00,2.00,2.00,2.00,3.00,4.00,3.00,4.00,3.00,5.00,4.00,5.00,3.00,5.00,5.00,1.00,5.00,10.00,1.00,1.00,0.00,7.00,0.00,3.00,3.00,2.00,2.00,1.00,1.00,1.00,1.00,1.00,4.00,2.00,5.00,2.00,3.00,3.00,1.00,1.00,1.00,1.00,1.00,1.00
2.00,2.00,3.00,2.00,3.00,4.00,4.00,4.00,4.00,5.00,3.00,4.00,1.00,2.00,5.00,5.00,5.00,2.00,4.00,2.00,1.00,10.00,0.00,2.00,5.00,3.00,4.00,2.00,1.00,1.00,1.00,2.00,1.00,4.00,5.00,2.00,2.00,2.00,4.00,4.00,1.00,1.00,1.00,1.00
2.00,1.00,3.00,2.00,1.00,4.00,4.00,4.00,4.00,4.00,3.00,4.00,3.00,4.00,5.00,5.00,7.00,0.00,2.00,1.00,1.00,13.00,0.00,2.00,2.00,4.00,3.00,2.00,1.00,2.00,1.00,1.00,3.00,3.00,3.00,3.00,3.00,5.00,1.00,1.00,1.00,1.00,1.00,1.00
2.00,2.00,3.00,2.00,4.00,5.00,4.00,5.00,2.00,4.00,2.00,4.00,1.00,1.00,5.00,4.00,10.00,10.00,0.00,3.00,1.00,0.00,0.00,2.00,3.00,5.00,4.00,3.00,2.00,2.00,3.00,4.00,1.00,4.00,4.00,1.00,1.00,1.00,5.00,5.00,5.00,5.00,2.00,2.00
2.00,2.00,2.00,2.00,2.00,4.00,3.00,4.00,3.00,5.00,4.00,4.00,3.00,3.00,5.00,3.00,8.00,5.00,4.00,3.00,2.00,2.00,0.00,2.00,4.00,3.00,5.00,2.00,2.00,2.00,1.00,2.00,1.00,5.00,5.00,1.00,1.00,1.00,4.00,3.00,2.00,1.00,1.00,1.00
2.00,2.00,3.00,2.00,4.00,2.00,5.00,4.00,2.00,4.00,4.00,5.00,2.00,2.00,5.00,5.00,7.00,2.00,4.00,3.00,1.00,7.00,0.00,3.00,5.00,3.00,3.00,2.00,2.00,2.00,4.00,2.00,1.00,5.00,4.00,3.00,3.00,3.00,1.00,1.00,1.00,1.00,1.00,1.00
2.00,1.00,2.00,2.00,2.00,5.00,3.00,4.00,2.00,2.00,4.00,3.00,3.00,4.00,5.00,3.00,7.00,9.00,2.00,5.00,1.00,0.00,0.00,4.00,5.00,3.00,5.00,3.00,3.00,2.00,1.00,2.00,1.00,5.00,5.00,1.00,1.00,1.00,3.00,3.00,1.00,1.00,1.00,1.00
2.00,3.00,2.00,2.00,3.00,5.00,5.00,3.00,3.00,5.00,3.00,4.00,5.00,4.00,5.00,3.00,7.00,8.00,3.00,2.00,1.00,2.00,0.00,3.00,3.00,2.00,4.00,3.00,3.00,1.00,2.00,2.00,3.00,2.00,5.00,2.00,1.00,3.00,5.00,3.00,1.00,1.00,1.00,1.00
2.00,1.00,2.00,2.00,2.00,5.00,4.00,5.00,3.00,5.00,3.00,4.00,2.00,4.00,5.00,3.00,8.00,4.00,1.00,10.00,,,,,,,,,,,,,,,,,,,,,,,,
2.00,3.00,4.00,3.00,5.00,3.00,3.00,3.00,2.00,4.00,3.00,5.00,1.00,3.00,5.00,3.00,6.00,11.00,1.00,3.00,1.00,0.00,2.00,2.00,2.00,3.00,3.00,2.00,1.00,1.00,1.00,3.00,4.00,3.00,3.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
2.00,1.00,2.00,3.00,1.00,4.00,3.00,4.00,2.00,3.00,3.00,5.00,3.00,4.00,5.00,3.00,7.00,2.00,3.00,5.00,2.00,0.00,2.00,2.00,5.00,4.00,2.00,2.00,1.00,1.00,1.00,2.00,1.00,4.00,5.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
2.00,4.00,4.00,3.00,4.00,5.00,3.00,4.00,1.00,2.00,4.00,4.00,4.00,4.00,5.00,3.00,7.00,9.00,1.00,2.00,0.00,3.00,2.00,3.00,5.00,5.00,4.00,1.00,1.00,1.00,1.00,1.00,1.00,5.00,5.00,2.00,3.00,4.00,4.00,4.00,4.00,4.00,1.00,1.00
2.00,3.00,3.00,3.00,5.00,3.00,3.00,4.00,2.00,4.00,4.00,4.00,4.00,4.00,5.00,3.00,7.00,5.00,2.00,3.00,1.00,4.00,2.00,3.00,5.00,3.00,3.00,1.00,1.00,1.00,1.00,1.00,1.00,5.00,4.00,3.00,2.00,2.00,4.00,4.00,2.00,3.00,2.00,1.00
2.00,3.00,3.00,3.00,1.00,5.00,3.00,4.00,3.00,3.00,2.00,2.00,3.00,2.00,5.00,4.00,8.00,8.00,1.00,2.00,2.00,0.00,2.00,2.00,3.00,2.00,4.00,3.00,3.00,1.00,1.00,1.00,1.00,2.00,4.00,1.00,1.00,1.00,3.00,4.00,3.00,2.00,2.00,1.00
2.00,3.00,3.00,3.00,4.00,4.00,3.00,5.00,2.00,2.00,4.00,4.00,3.00,5.00,5.00,1.00,8.00,5.00,1.00,,,,,,,,,,,,,,,,,,,,,,,,,
2.00,4.00,4.00,3.00,4.00,5.00,3.00,4.00,1.00,4.00,4.00,5.00,3.00,5.00,5.00,3.00,10.00,8.00,2.00,3.00,0.00,0.00,1.00,3.00,5.00,2.00,2.00,2.00,1.00,1.00,1.00,3.00,3.00,4.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
2.00,2.00,3.00,3.00,1.00,4.00,3.00,3.00,3.00,5.00,3.00,5.00,3.00,5.00,5.00,3.00,7.00,8.00,1.00,3.00,0.00,4.00,1.00,5.00,5.00,5.00,4.00,2.00,1.00,2.00,1.00,2.00,1.00,3.00,5.00,3.00,3.00,4.00,4.00,3.00,3.00,3.00,1.00,1.00
2.00,3.00,3.00,3.00,4.00,4.00,3.00,4.00,3.00,4.00,4.00,4.00,3.00,4.00,5.00,4.00,6.00,10.00,2.00,1.00,0.00,4.00,1.00,3.00,4.00,3.00,4.00,1.00,1.00,1.00,1.00,1.00,1.00,4.00,5.00,3.00,4.00,3.00,3.00,2.00,3.00,3.00,1.00,1.00
2.00,2.00,4.00,3.00,5.00,5.00,3.00,5.00,1.00,1.00,5.00,5.00,1.00,5.00,5.00,5.00,5.00,0.00,5.00,5.00,1.00,0.00,1.00,2.00,2.00,2.00,3.00,3.00,3.00,1.00,1.00,3.00,1.00,3.00,5.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
2.00,4.00,3.00,3.00,3.00,4.00,2.00,3.00,4.00,4.00,5.00,5.00,4.00,4.00,5.00,3.00,2.00,8.00,3.00,1.00,5.00,4.00,1.00,3.00,3.00,3.00,3.00,2.00,3.00,1.00,3.00,3.00,3.00,4.00,5.00,3.00,3.00,4.00,3.00,2.00,3.00,3.00,2.00,2.00
2.00,1.00,2.00,3.00,4.00,5.00,4.00,5.00,3.00,4.00,4.00,5.00,3.00,4.00,5.00,5.00,7.00,8.00,1.00,3.00,2.00,0.00,1.00,3.00,3.00,2.00,1.00,4.00,5.00,3.00,1.00,4.00,3.00,2.00,2.00,1.00,1.00,1.00,3.00,4.00,2.00,2.00,3.00,4.00
2.00,1.00,3.00,3.00,2.00,5.00,4.00,5.00,2.00,3.00,4.00,5.00,1.00,1.00,5.00,5.00,9.00,9.00,1.00,3.00,,,,,,,,,,,,,,,,,,,,,,,,
2.00,4.00,4.00,3.00,1.00,5.00,4.00,5.00,1.00,4.00,4.00,4.00,2.00,3.00,5.00,5.00,6.00,8.00,1.00,6.00,,,,,,,,,,,,,,,,,,,,,,,,
2.00,3.00,3.00,3.00,3.00,4.00,4.00,3.00,2.00,4.00,3.00,4.00,2.00,1.00,5.00,5.00,5.00,10.00,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,
2.00,3.00,2.00,3.00,2.00,5.00,5.00,4.00,2.00,3.00,3.00,4.00,1.00,3.00,5.00,4.00,8.00,6.00,0.00,9.00,1.00,0.00,0.00,2.00,2.00,2.00,4.00,1.00,1.00,1.00,1.00,1.00,1.00,5.00,5.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
2.00,4.00,4.00,3.00,5.00,4.00,3.00,5.00,2.00,3.00,3.00,3.00,3.00,2.00,5.00,3.00,8.00,10.00,1.00,4.00,1.00,0.00,0.00,3.00,4.00,1.00,3.00,1.00,1.00,1.00,1.00,1.00,1.00,4.00,5.00,1.00,1.00,1.00,3.00,2.00,3.00,3.00,2.00,3.00
2.00,2.00,3.00,3.00,3.00,5.00,4.00,4.00,2.00,3.00,3.00,5.00,2.00,5.00,5.00,4.00,7.00,9.00,2.00,5.00,1.00,0.00,0.00,3.00,2.00,1.00,2.00,1.00,1.00,1.00,1.00,1.00,1.00,5.00,5.00,1.00,1.00,1.00,3.00,3.00,1.00,2.00,1.00,1.00
2.00,2.00,2.00,3.00,1.00,4.00,3.00,4.00,2.00,4.00,4.00,4.00,2.00,3.00,5.00,4.00,8.00,7.00,4.00,4.00,1.00,0.00,0.00,3.00,4.00,5.00,4.00,3.00,1.00,1.00,1.00,3.00,1.00,4.00,4.00,1.00,1.00,1.00,4.00,3.00,3.00,1.00,1.00,1.00
2.00,3.00,3.00,3.00,4.00,4.00,4.00,4.00,2.00,5.00,4.00,4.00,2.00,3.00,5.00,5.00,7.00,0.00,3.00,5.00,1.00,5.00,0.00,3.00,5.00,2.00,3.00,1.00,1.00,1.00,1.00,1.00,1.00,4.00,5.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
2.00,3.00,2.00,3.00,2.00,4.00,3.00,4.00,1.00,4.00,4.00,3.00,1.00,3.00,5.00,5.00,8.00,4.00,2.00,2.00,2.00,6.00,0.00,1.00,3.00,2.00,2.00,1.00,1.00,1.00,1.00,1.00,1.00,3.00,3.00,1.00,4.00,5.00,1.00,1.00,1.00,1.00,1.00,1.00
2.00,4.00,4.00,3.00,4.00,4.00,2.00,3.00,2.00,3.00,5.00,5.00,3.00,4.00,5.00,3.00,8.00,3.00,6.00,,,,,,,,,,,,,,,,,,,,,,,,,
2.00,4.00,3.00,3.00,4.00,4.00,4.00,4.00,3.00,4.00,4.00,5.00,2.00,5.00,5.00,4.00,8.00,5.00,1.00,5.00,1.00,4.00,0.00,4.00,5.00,5.00,4.00,2.00,2.00,1.00,1.00,2.00,2.00,5.00,4.00,1.00,1.00,1.00,4.00,3.00,2.00,2.00,1.00,1.00
2.00,4.00,5.00,3.00,5.00,5.00,4.00,5.00,4.00,3.00,3.00,4.00,1.00,1.00,5.00,5.00,8.00,5.00,1.00,5.00,5.00,0.00,0.00,2.00,2.00,1.00,1.00,3.00,3.00,3.00,1.00,3.00,2.00,2.00,5.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
2.00,3.00,2.00,3.00,2.00,4.00,3.00,3.00,4.00,5.00,3.00,4.00,3.00,3.00,5.00,2.00,9.00,3.00,1.00,7.00,1.00,3.00,0.00,4.00,2.00,2.00,2.00,1.00,3.00,2.00,1.00,1.00,1.00,3.00,4.00,4.00,2.00,4.00,3.00,4.00,1.00,1.00,2.00,1.00
2.00,3.00,3.00,3.00,1.00,5.00,3.00,5.00,3.00,4.00,5.00,4.00,3.00,4.00,5.00,3.00,6.00,3.00,2.00,1.00,1.00,11.00,0.00,4.00,5.00,2.00,3.00,3.00,3.00,3.00,4.00,4.00,4.00,4.00,5.00,4.00,3.00,4.00,4.00,3.00,3.00,3.00,2.00,4.00
2.00,3.00,4.00,4.00,5.00,5.00,4.00,4.00,2.00,2.00,2.00,4.00,2.00,2.00,5.00,4.00,20.00,20.00,20.00,20.00,10.00,0.00,10.00,2.00,4.00,3.00,5.00,1.00,1.00,1.00,1.00,1.00,1.00,5.00,5.00,1.00,1.00,1.00,3.00,2.00,2.00,2.00,3.00,3.00
2.00,2.00,3.00,4.00,3.00,2.00,4.00,4.00,4.00,2.00,3.00,2.00,3.00,3.00,5.00,4.00,6.00,2.00,5.00,5.00,1.00,0.00,5.00,2.00,3.00,4.00,2.00,1.00,3.00,2.00,4.00,2.00,3.00,4.00,4.00,1.00,1.00,1.00,3.00,3.00,2.00,4.00,2.00,3.00
2.00,3.00,4.00,4.00,2.00,5.00,3.00,4.00,2.00,5.00,4.00,2.00,3.00,4.00,5.00,5.00,6.00,8.00,1.00,3.00,4.00,0.00,2.00,5.00,5.00,2.00,5.00,2.00,1.00,1.00,1.00,2.00,1.00,5.00,5.00,1.00,1.00,1.00,3.00,3.00,2.00,2.00,3.00,1.00
2.00,5.00,2.00,4.00,5.00,5.00,3.00,4.00,1.00,4.00,3.00,1.00,1.00,3.00,5.00,1.00,10.00,2.00,3.00,5.00,1.00,1.00,2.00,5.00,4.00,5.00,4.00,2.00,1.00,1.00,1.00,5.00,1.00,5.00,5.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
2.00,3.00,4.00,4.00,4.00,3.00,4.00,4.00,2.00,5.00,4.00,4.00,3.00,5.00,5.00,3.00,5.00,8.00,3.00,1.00,1.00,4.00,2.00,2.00,3.00,2.00,5.00,1.00,1.00,1.00,1.00,1.00,1.00,5.00,5.00,1.00,1.00,2.00,3.00,3.00,1.00,1.00,1.00,1.00
2.00,3.00,3.00,4.00,3.00,5.00,3.00,4.00,2.00,4.00,4.00,4.00,4.00,4.00,5.00,3.00,8.00,8.00,1.00,2.00,1.00,2.00,2.00,4.00,5.00,5.00,4.00,2.00,2.00,1.00,1.00,1.00,1.00,5.00,4.00,1.00,1.00,1.00,5.00,5.00,3.00,3.00,1.00,1.00
2.00,3.00,4.00,4.00,4.00,4.00,3.00,4.00,3.00,4.00,5.00,4.00,5.00,5.00,5.00,3.00,6.00,8.00,2.00,4.00,2.00,0.00,2.00,3.00,4.00,4.00,3.00,5.00,3.00,3.00,3.00,4.00,3.00,4.00,5.00,1.00,1.00,1.00,5.00,5.00,5.00,5.00,3.00,2.00
2.00,5.00,4.00,4.00,2.00,5.00,4.00,5.00,2.00,4.00,5.00,5.00,2.00,2.00,5.00,4.00,6.00,5.00,2.00,,,,,,,,,,,,,,,,,,,,,,,,,
2.00,5.00,4.00,4.00,4.00,5.00,2.00,5.00,4.00,1.00,4.00,5.00,5.00,5.00,5.00,1.00,8.00,12.00,0.00,0.00,0.00,0.00,1.00,5.00,5.00,5.00,5.00,1.00,1.00,1.00,1.00,2.00,1.00,2.00,3.00,3.00,4.00,5.00,5.00,4.00,3.00,2.00,3.00,1.00
2.00,3.00,3.00,4.00,4.00,3.00,2.00,2.00,4.00,4.00,3.00,4.00,3.00,4.00,5.00,2.00,7.00,8.00,2.00,4.00,2.00,0.00,1.00,3.00,4.00,3.00,4.00,2.00,1.00,2.00,1.00,2.00,1.00,4.00,4.00,1.00,1.00,1.00,4.00,3.00,3.00,5.00,2.00,3.00
2.00,5.00,4.00,4.00,4.00,5.00,4.00,5.00,1.00,5.00,3.00,4.00,3.00,4.00,5.00,4.00,6.00,9.00,1.00,1.00,1.00,0.00,1.00,4.00,3.00,5.00,4.00,3.00,1.00,1.00,1.00,1.00,1.00,5.00,4.00,1.00,1.00,1.00,5.00,2.00,3.00,3.00,1.00,1.00
2.00,4.00,4.00,4.00,3.00,5.00,3.00,4.00,1.00,3.00,2.00,4.00,2.00,3.00,5.00,3.00,8.00,8.00,1.00,4.00,2.00,0.00,1.00,3.00,3.00,3.00,5.00,1.00,1.00,1.00,1.00,1.00,1.00,5.00,4.00,1.00,1.00,1.00,3.00,3.00,2.00,2.00,2.00,2.00
2.00,3.00,3.00,4.00,4.00,5.00,4.00,5.00,2.00,5.00,4.00,5.00,3.00,5.00,5.00,1.00,8.00,8.00,1.00,5.00,1.00,0.00,1.00,4.00,4.00,4.00,5.00,1.00,1.00,1.00,1.00,1.00,1.00,5.00,5.00,1.00,1.00,1.00,3.00,3.00,1.00,1.00,2.00,1.00
2.00,3.00,2.00,4.00,5.00,5.00,4.00,4.00,2.00,5.00,3.00,3.00,3.00,5.00,5.00,5.00,7.00,8.00,3.00,2.00,1.00,2.00,1.00,3.00,5.00,3.00,5.00,1.00,1.00,1.00,1.00,1.00,1.00,3.00,5.00,1.00,1.00,1.00,3.00,4.00,1.00,5.00,5.00,5.00
2.00,3.00,3.00,4.00,3.00,5.00,2.00,4.00,3.00,3.00,4.00,3.00,3.00,4.00,5.00,3.00,5.00,8.00,1.00,2.00,1.00,6.00,1.00,5.00,5.00,3.00,4.00,2.00,1.00,2.00,1.00,2.00,1.00,5.00,3.00,2.00,1.00,4.00,4.00,4.00,4.00,4.00,4.00,5.00
2.00,4.00,3.00,4.00,4.00,3.00,3.00,5.00,2.00,4.00,2.00,4.00,2.00,4.00,5.00,3.00,7.00,6.00,1.00,4.00,5.00,0.00,1.00,5.00,5.00,5.00,5.00,3.00,2.00,2.00,1.00,2.00,2.00,4.00,4.00,1.00,1.00,1.00,3.00,2.00,2.00,1.00,1.00,1.00
2.00,3.00,3.00,4.00,3.00,2.00,2.00,1.00,4.00,5.00,4.00,4.00,3.00,4.00,5.00,2.00,8.00,8.00,2.00,4.00,2.00,0.00,0.00,5.00,5.00,5.00,4.00,2.00,1.00,2.00,1.00,3.00,1.00,5.00,5.00,1.00,1.00,1.00,3.00,3.00,2.00,1.00,1.00,1.00
2.00,4.00,3.00,4.00,3.00,4.00,4.00,4.00,3.00,4.00,3.00,5.00,2.00,2.00,5.00,4.00,7.00,7.00,2.00,6.00,2.00,0.00,0.00,2.00,2.00,3.00,4.00,2.00,1.00,4.00,1.00,2.00,1.00,4.00,5.00,1.00,1.00,1.00,3.00,3.00,2.00,1.00,1.00,1.00
2.00,2.00,4.00,4.00,5.00,4.00,3.00,5.00,2.00,5.00,3.00,3.00,3.00,5.00,5.00,2.00,7.00,0.00,4.00,11.00,2.00,0.00,0.00,3.00,5.00,3.00,5.00,3.00,1.00,1.00,5.00,2.00,1.00,3.00,5.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
2.00,3.00,4.00,4.00,5.00,5.00,3.00,5.00,2.00,3.00,4.00,5.00,2.00,4.00,5.00,2.00,8.00,8.00,1.00,4.00,1.00,2.00,0.00,4.00,5.00,4.00,4.00,1.00,1.00,1.00,1.00,1.00,1.00,5.00,5.00,2.00,2.00,3.00,4.00,4.00,1.00,1.00,1.00,1.00
2.00,1.00,4.00,4.00,4.00,4.00,3.00,4.00,2.00,4.00,4.00,4.00,2.00,2.00,5.00,4.00,8.00,8.00,2.00,2.00,1.00,3.00,0.00,4.00,4.00,4.00,4.00,1.00,1.00,1.00,1.00,1.00,1.00,4.00,4.00,4.00,4.00,2.00,4.00,2.00,2.00,1.00,1.00,1.00
2.00,1.00,4.00,4.00,4.00,3.00,3.00,3.00,1.00,4.00,4.00,5.00,2.00,2.00,5.00,4.00,8.00,6.00,1.00,1.00,0.00,8.00,0.00,3.00,4.00,3.00,5.00,1.00,1.00,1.00,1.00,1.00,1.00,3.00,4.00,3.00,3.00,3.00,1.00,3.00,3.00,3.00,1.00,1.00
2.00,3.00,3.00,4.00,2.00,5.00,4.00,5.00,2.00,3.00,4.00,3.00,3.00,5.00,5.00,5.00,8.00,2.00,1.00,1.00,1.00,2.00,0.00,4.00,5.00,5.00,3.00,3.00,3.00,3.00,2.00,3.00,3.00,4.00,5.00,3.00,3.00,2.00,5.00,3.00,1.00,1.00,1.00,1.00
2.00,3.00,5.00,5.00,2.00,3.00,3.00,5.00,1.00,2.00,1.00,4.00,3.00,4.00,5.00,4.00,8.00,1.00,2.00,9.00,1.00,1.00,2.00,3.00,4.00,4.00,1.00,3.00,3.00,3.00,2.00,3.00,3.00,4.00,4.00,1.00,1.00,1.00,3.00,4.00,2.00,2.00,3.00,3.00
2.00,5.00,4.00,5.00,5.00,5.00,4.00,5.00,3.00,3.00,3.00,5.00,2.00,4.00,5.00,4.00,5.00,12.00,1.00,4.00,1.00,0.00,1.00,4.00,2.00,1.00,3.00,1.00,1.00,1.00,1.00,1.00,1.00,4.00,5.00,1.00,1.00,1.00,4.00,3.00,3.00,3.00,1.00,1.00
2.00,2.00,3.00,5.00,5.00,3.00,3.00,3.00,2.00,5.00,4.00,4.00,4.00,5.00,5.00,1.00,8.00,8.00,4.00,2.00,1.00,0.00,1.00,2.00,5.00,2.00,4.00,2.00,1.00,1.00,1.00,1.00,1.00,4.00,5.00,1.00,1.00,1.00,5.00,4.00,3.00,4.00,2.00,2.00
2.00,5.00,5.00,5.00,5.00,5.00,4.00,5.00,1.00,3.00,4.00,4.00,3.00,5.00,5.00,1.00,5.00,8.00,1.00,7.00,1.00,1.00,1.00,3.00,4.00,4.00,5.00,1.00,1.00,1.00,1.00,1.00,1.00,5.00,4.00,1.00,1.00,1.00,3.00,4.00,2.00,2.00,2.00,1.00
3.00,3.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3.00,3.00,5.00,1.00,5.00,5.00,3.00,5.00,3.00,5.00,5.00,5.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3.00,3.00,3.00,2.00,4.00,3.00,3.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3.00,3.00,2.00,2.00,2.00,3.00,4.00,3.00,2.00,4.00,2.00,3.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3.00,2.00,3.00,4.00,4.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3.00,2.00,4.00,5.00,4.00,3.00,4.00,2.00,3.00,2.00,1.00,2.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3.00,3.00,2.00,1.00,1.00,5.00,5.00,5.00,5.00,4.00,3.00,5.00,2.00,1.00,1.00,5.00,24.00,24.00,5.00,10.00,24.00,0.00,20.00,2.00,5.00,2.00,5.00,1.00,1.00,3.00,1.00,3.00,1.00,4.00,4.00,1.00,1.00,1.00,5.00,5.00,3.00,3.00,2.00,5.00
3.00,4.00,1.00,1.00,3.00,4.00,5.00,4.00,5.00,3.00,2.00,4.00,2.00,1.00,1.00,5.00,6.00,8.00,2.00,1.00,1.00,4.00,2.00,1.00,2.00,1.00,3.00,1.00,1.00,1.00,1.00,1.00,1.00,3.00,5.00,2.00,3.00,3.00,5.00,4.00,4.00,4.00,1.00,2.00
3.00,4.00,1.00,1.00,1.00,5.00,5.00,5.00,5.00,1.00,1.00,3.00,1.00,1.00,1.00,5.00,0.00,8.00,4.00,8.00,2.00,1.00,1.00,1.00,1.00,1.00,2.00,1.00,1.00,1.00,1.00,1.00,1.00,3.00,4.00,1.00,1.00,1.00,5.00,5.00,2.00,4.00,2.00,1.00
3.00,2.00,3.00,1.00,3.00,4.00,4.00,4.00,4.00,3.00,3.00,3.00,2.00,1.00,1.00,5.00,8.00,8.00,1.00,5.00,1.00,0.00,1.00,2.00,1.00,1.00,3.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,5.00,1.00,1.00,1.00,5.00,4.00,4.00,4.00,2.00,2.00
3.00,2.00,3.00,1.00,3.00,3.00,3.00,4.00,4.00,3.00,4.00,2.00,3.00,1.00,1.00,4.00,8.00,4.00,1.00,6.00,1.00,0.00,1.00,4.00,3.00,2.00,2.00,4.00,4.00,4.00,3.00,4.00,3.00,4.00,5.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
3.00,4.00,2.00,1.00,4.00,5.00,4.00,5.00,5.00,3.00,4.00,5.00,2.00,2.00,1.00,5.00,8.00,8.00,2.00,5.00,1.00,0.00,0.00,3.00,4.00,3.00,2.00,2.00,1.00,1.00,1.00,2.00,1.00,4.00,4.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
3.00,4.00,2.00,1.00,2.00,4.00,3.00,3.00,4.00,5.00,4.00,4.00,2.00,1.00,1.00,2.00,10.00,5.00,2.00,7.00,0.00,0.00,0.00,3.00,4.00,4.00,2.00,3.00,1.00,1.00,1.00,2.00,1.00,4.00,5.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
3.00,4.00,2.00,1.00,3.00,4.00,2.00,4.00,3.00,4.00,3.00,3.00,2.00,2.00,1.00,4.00,6.00,0.00,1.00,3.00,0.00,14.00,0.00,2.00,2.00,2.00,2.00,1.00,1.00,1.00,1.00,1.00,1.00,3.00,5.00,3.00,2.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
3.00,3.00,2.00,1.00,4.00,4.00,4.00,4.00,3.00,3.00,1.00,1.00,1.00,1.00,1.00,5.00,8.00,4.00,0.00,11.00,0.00,0.00,0.00,1.00,2.00,4.00,3.00,2.00,2.00,1.00,1.00,1.00,1.00,3.00,4.00,1.00,1.00,1.00,5.00,4.00,4.00,2.00,1.00,1.00
3.00,4.00,4.00,2.00,4.00,4.00,4.00,3.00,5.00,4.00,5.00,3.00,2.00,2.00,1.00,5.00,4.00,5.00,6.00,1.00,0.00,4.00,4.00,2.00,3.00,2.00,3.00,3.00,4.00,3.00,2.00,4.00,3.00,2.00,4.00,5.00,5.00,5.00,3.00,3.00,3.00,3.00,3.00,3.00
3.00,3.00,2.00,2.00,3.00,4.00,3.00,4.00,4.00,4.00,3.00,2.00,2.00,1.00,1.00,5.00,7.00,7.00,1.00,6.00,1.00,0.00,2.00,4.00,4.00,4.00,4.00,2.00,1.00,1.00,1.00,1.00,1.00,4.00,4.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
3.00,4.00,2.00,2.00,3.00,5.00,4.00,4.00,3.00,2.00,2.00,2.00,2.00,1.00,1.00,5.00,8.00,9.00,3.00,2.00,0.00,0.00,2.00,2.00,2.00,1.00,4.00,3.00,3.00,2.00,2.00,3.00,3.00,2.00,5.00,1.00,1.00,1.00,2.00,5.00,2.00,2.00,2.00,1.00
3.00,4.00,3.00,2.00,2.00,4.00,4.00,4.00,3.00,4.00,4.00,2.00,2.00,1.00,1.00,5.00,6.00,7.00,5.00,4.00,1.00,0.00,1.00,3.00,4.00,3.00,2.00,2.00,1.00,1.00,1.00,1.00,2.00,5.00,4.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
3.00,4.00,4.00,2.00,3.00,2.00,2.00,4.00,2.00,4.00,2.00,3.00,1.00,1.00,1.00,4.00,6.00,10.00,3.00,1.00,1.00,2.00,1.00,2.00,5.00,5.00,5.00,1.00,1.00,1.00,1.00,1.00,1.00,4.00,5.00,3.00,3.00,2.00,4.00,4.00,4.00,1.00,1.00,1.00
